City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
93,Zabid,14.1951,43.3152,86.61,66,38,8.28,YE,2021-09-25 23:27:58
94,Constitucion,-35.3333,-72.4167,53.19,85,24,6.76,CL,2021-09-25 23:26:11
95,Oussouye,12.485,-16.5469,78.89,84,89,4.56,SN,2021-09-25 23:27:58
96,Cabo San Lucas,22.8909,-109.9124,91.62,71,25,7.72,MX,2021-09-25 23:25:27
97,Airai,-8.9266,125.4092,65.71,63,57,2.21,TL,2021-09-25 23:26:46
98,Magnolia,33.2671,-93.2393,85.26,44,0,1.07,US,2021-09-25 23:27:58
99,Cockburn Town,21.4612,-71.1419,82.36,65,20,0.0,TC,2021-09-25 23:27:59
100,East London,-33.0153,27.9116,66.29,55,44,14.29,ZA,2021-09-25 23:25:47
101,Fria,10.4167,-13.5833,72.21,98,98,1.25,GN,2021-09-25 23:27:59
102,Tianpeng,30.9866,103.9393,75.63,94,92,6.22,CN,2021-09-25 23:26:38
103,Oliva,38.9197,-0.1194,74.41,85,37,1.99,ES,2021-09-25 23:27:59
104,Chuy,-33.6971,-53.4616,59.04,95,74,5.3,UY,2021-09-25 23:25:43
105,Bambous Virieux,-20.3428,57.7575,71.85,78,40,12.66,MU,2021-09-25 23:26:35
106,Acarau,-2.8856,-40.12,79.21,78,28,19.13,BR,2021-09-25 23:28:00
107,Vila,42.0304,-8.1588,54.48,94,51,4.5,PT,2021-09-25 23:25:33
108,Booue,-0.0921,11.9385,72.09,99,100,4.59,GA,2021-09-25 23:28:00
109,Rio Gallegos,-51.6226,-69.2181,44.65,45,40,18.41,AR,2021-09-25 23:26:54
110,Srednekolymsk,67.45,153.6833,33.98,91,99,16.15,RU,2021-09-25 23:27:31
111,Avarua,-21.2078,-159.775,75.25,94,75,14.97,CK,2021-09-25 23:25:38
112,Provideniya,64.3833,-173.3,33.06,87,99,0.87,RU,2021-09-25 23:27:06
113,Nemuro,43.3236,145.575,55.24,77,5,1.72,JP,2021-09-25 23:27:55
114,Necochea,-38.5473,-58.7368,57.04,86,0,12.41,AR,2021-09-25 23:28:00
115,Ulaanbaatar,47.9077,106.8832,35.73,80,75,6.71,MN,2021-09-25 23:27:07
116,Abu Zabad,12.35,29.25,72.97,86,98,9.04,SD,2021-09-25 23:28:01
117,Beira,-19.8436,34.8389,64.49,94,0,4.61,MZ,2021-09-25 23:28:01
118,Zhigansk,66.7697,123.3711,31.46,90,70,11.9,RU,2021-09-25 23:26:25
119,Tilichiki,60.4667,166.1,44.02,71,100,6.2,RU,2021-09-25 23:27:58
120,Kidal,18.4411,1.4078,89.15,9,0,10.74,ML,2021-09-25 23:28:01
121,Lucea,18.451,-78.1736,85.86,76,29,5.64,JM,2021-09-25 23:28:02
122,Palmas,-10.2128,-48.3603,75.07,88,75,4.61,BR,2021-09-25 23:25:54
123,Tura,25.5198,90.2201,75.09,87,29,3.67,IN,2021-09-25 23:26:21
124,Lewisville,33.0462,-96.9942,91.45,28,1,1.01,US,2021-09-25 23:24:40
125,Cubara,7.0008,-72.1085,72.57,96,94,2.59,CO,2021-09-25 23:28:02
