City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,Mount Isa,-20.7333,139.5,91.17,11,81,5.75,AU,2021-09-25 04:31:04
232,Palivere,58.9664,23.8911,48.67,92,100,3.67,EE,2021-09-25 04:33:36
233,Necochea,-38.5473,-58.7368,50.04,92,0,11.34,AR,2021-09-25 04:33:37
234,Azul,-36.777,-59.8585,53.35,96,2,7.56,AR,2021-09-25 04:30:06
235,Sarnia,42.9787,-82.4041,62.89,78,1,4.0,CA,2021-09-25 04:33:37
236,Luanda,-8.8368,13.2343,71.6,88,20,2.3,AO,2021-09-25 04:29:38
237,Ayagoz,47.9714,80.4392,47.05,28,6,9.53,KZ,2021-09-25 04:33:38
238,Banjar,-8.19,114.9675,84.06,70,39,3.56,ID,2021-09-25 04:33:38
239,Saint-Augustin,51.226,-58.6502,45.93,88,41,6.91,CA,2021-09-25 04:33:38
240,Amuntai,-2.4177,115.2494,89.28,56,87,0.83,ID,2021-09-25 04:33:39
241,Jiayuguan,39.8167,98.3,59.52,35,29,7.31,CN,2021-09-25 04:33:39
242,Jalu,29.0331,21.5482,67.71,55,0,7.78,LY,2021-09-25 04:33:39
243,Antigonish,45.6169,-61.9986,63.82,94,99,6.38,CA,2021-09-25 04:29:22
244,Qixia,37.2975,120.8256,68.36,79,100,9.26,CN,2021-09-25 04:33:40
245,Tynda,55.1667,124.7167,57.76,59,52,1.23,RU,2021-09-25 04:33:40
246,Matamoros,25.5333,-103.25,82.51,34,40,11.5,MX,2021-09-25 04:33:40
247,Okha,53.5739,142.9478,60.78,49,5,11.05,RU,2021-09-25 04:33:40
248,Nicoya,10.1483,-85.452,71.15,91,99,1.14,CR,2021-09-25 04:33:41
249,Srednekolymsk,67.45,153.6833,43.56,55,100,12.06,RU,2021-09-25 04:33:41
250,Kyabe,9.4515,18.9449,70.88,98,99,4.9,TD,2021-09-25 04:33:41
251,Maningrida,-12.0667,134.2667,88.56,49,36,13.89,AU,2021-09-25 04:33:41
252,Hohhot,40.8106,111.6522,73.69,49,75,4.47,CN,2021-09-25 04:33:42
253,Port-Cartier,50.0334,-66.8654,52.75,98,100,16.78,CA,2021-09-25 04:33:42
254,Nador,35.174,-2.9287,71.67,83,75,10.36,MA,2021-09-25 04:33:42
255,Waspan,14.7419,-83.9717,73.62,96,25,1.79,NI,2021-09-25 04:33:43
256,Bengkulu,-3.8004,102.2655,84.04,71,75,7.34,ID,2021-09-25 04:33:43
257,Lusaka,-15.4067,28.2871,65.86,48,0,10.89,ZM,2021-09-25 04:33:43
258,Carutapera,-1.195,-46.02,78.01,84,94,7.45,BR,2021-09-25 04:33:44
259,Eyl,7.9803,49.8164,82.04,62,61,16.8,SO,2021-09-25 04:33:44
260,Qeshm,26.9581,56.2719,87.69,67,4,6.13,IR,2021-09-25 04:33:44
261,La Rioja,42.25,-2.5,56.48,91,7,6.4,ES,2021-09-25 04:33:44
262,Dingle,10.9995,122.6711,88.14,67,74,6.44,PH,2021-09-25 04:33:45
263,Kuala Terengganu,5.3302,103.1408,89.55,62,40,5.75,MY,2021-09-25 04:33:45
264,Inirida,3.8653,-67.9239,71.78,97,100,2.51,CO,2021-09-25 04:33:45
265,Balkanabat,39.5108,54.3671,76.5,50,0,2.73,TM,2021-09-25 04:33:46
266,Emba,48.8264,58.1442,63.84,19,10,21.25,KZ,2021-09-25 04:33:46
267,Dzilam Gonzalez,21.2833,-88.9333,76.06,89,88,3.56,MX,2021-09-25 04:33:47
268,Alofi,-19.0595,-169.9187,73.29,83,54,11.5,NU,2021-09-25 04:33:47
269,Evensk,61.95,159.2333,46.56,77,15,6.85,RU,2021-09-25 04:33:47
270,Le Mars,42.7942,-96.1656,51.73,61,1,0.0,US,2021-09-25 04:33:48
271,Aquiraz,-3.9014,-38.3911,83.21,66,29,13.69,BR,2021-09-25 04:33:48
272,Pacific Grove,36.6177,-121.9166,64.15,92,90,1.01,US,2021-09-25 04:33:48
273,Merida,20.9667,-89.6167,80.02,94,75,0.0,MX,2021-09-25 04:33:48
274,Troitskoye,52.9821,84.6757,39.6,73,100,13.62,RU,2021-09-25 04:33:49
275,Kenai,60.5544,-151.2583,39.15,90,90,6.91,US,2021-09-25 04:33:49
276,Bartica,6.4,-58.6167,75.52,98,49,2.01,GY,2021-09-25 04:33:49
277,Talnakh,69.4865,88.3972,39.4,54,36,0.11,RU,2021-09-25 04:33:49
278,Avera,33.194,-82.5271,60.46,60,0,4.29,US,2021-09-25 04:33:50
279,Ust-Ilimsk,58.0006,102.6619,45.79,47,18,4.41,RU,2021-09-25 04:33:50
280,Minggang,32.4586,114.0486,84.81,70,71,5.64,CN,2021-09-25 04:33:50
281,Oksfjord,70.2396,22.3479,45.52,91,100,8.68,NO,2021-09-25 04:33:51
282,Bushenyi,-0.5853,30.2114,62.26,87,92,1.07,UG,2021-09-25 04:33:51
283,Fuyang,32.9,115.8167,85.95,66,67,8.03,CN,2021-09-25 04:33:51
284,Sechura,-5.5569,-80.8222,63.95,84,42,11.81,PE,2021-09-25 04:33:52
285,Margate,51.3813,1.3862,61.03,95,27,8.41,GB,2021-09-25 04:33:52
286,Porto Torres,40.835,8.3972,76.1,71,87,5.03,IT,2021-09-25 04:33:52
287,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,62,75,11.18,RU,2021-09-25 04:32:18
288,Flin Flon,54.7682,-101.865,44.92,77,100,2.21,CA,2021-09-25 04:33:53
289,Carballo,43.213,-8.691,61.52,94,80,3.98,ES,2021-09-25 04:33:53
290,Kirakira,-10.4544,161.9205,83.53,75,88,10.07,SB,2021-09-25 04:33:53
291,Luangwa,-15.6167,30.4167,73.13,53,0,5.84,ZM,2021-09-25 04:33:54
292,Madingou,-4.1536,13.55,76.62,78,88,2.73,CG,2021-09-25 04:33:54
293,Strezhevoy,60.7333,77.5889,35.58,78,98,12.15,RU,2021-09-25 04:33:54
294,Alice Springs,-23.7,133.8833,81.95,8,79,8.05,AU,2021-09-25 04:33:55
295,Zarand,30.8127,56.564,81.64,13,0,3.67,IR,2021-09-25 04:33:55
